case_id,split,dataset_label,fg_id,bg_id,foreground_category,background_category,candidate_source,candidate_id,model_rank,is_top3,score,tier,label,x,y,w,h,model_version,runtime_ms
opa_test_001,test,1,69931,442445,cow,cow,opa_position,opa_position,1,yes,0.9985,recommended,推荐,0.4125,0.300781,0.409375,0.488281,simopa-rgb-mask-v1,201
opa_test_001,test,1,69931,442445,cow,cow,prior_pool,prior_02,2,yes,0.9985,recommended,推荐,0.42,0.3,0.40867,0.4889,simopa-rgb-mask-v1,26
opa_test_001,test,1,69931,442445,cow,cow,prior_pool,prior_07,3,yes,0.8876,recommended,推荐,0.59133,0.3,0.40867,0.4889,simopa-rgb-mask-v1,24
opa_test_001,test,1,69931,442445,cow,cow,prior_pool,prior_08,4,no,0.6002,acceptable,可接受,0.59133,0.12,0.40867,0.4889,simopa-rgb-mask-v1,25
opa_test_001,test,1,69931,442445,cow,cow,prior_pool,prior_11,5,no,0.197,rejected,不推荐,0.59133,0.5111,0.40867,0.4889,simopa-rgb-mask-v1,32
opa_test_001,test,1,69931,442445,cow,cow,prior_pool,prior_01,6,no,0.0,rejected,不推荐,0.38,0.5111,0.40867,0.4889,simopa-rgb-mask-v1,25
opa_test_001,test,1,69931,442445,cow,cow,prior_pool,prior_03,7,no,0.0,rejected,不推荐,0.15,0.5111,0.40867,0.4889,simopa-rgb-mask-v1,24
opa_test_001,test,1,69931,442445,cow,cow,prior_pool,prior_04,8,no,0.0,rejected,不推荐,0.55,0.5111,0.40867,0.4889,simopa-rgb-mask-v1,25
opa_test_001,test,1,69931,442445,cow,cow,prior_pool,prior_05,9,no,0.0,rejected,不推荐,0.52,0.46,0.40867,0.4889,simopa-rgb-mask-v1,24
opa_test_001,test,1,69931,442445,cow,cow,prior_pool,prior_06,10,no,0.0,rejected,不推荐,0.25,0.3,0.40867,0.4889,simopa-rgb-mask-v1,24
opa_test_001,test,1,69931,442445,cow,cow,prior_pool,prior_09,11,no,0.0,rejected,不推荐,0.08,0.18,0.40867,0.4889,simopa-rgb-mask-v1,31
opa_test_001,test,1,69931,442445,cow,cow,prior_pool,prior_10,12,no,0.0,rejected,不推荐,0.04,0.5111,0.40867,0.4889,simopa-rgb-mask-v1,31
opa_test_001,test,1,69931,442445,cow,cow,prior_pool,prior_12,13,no,0.0,rejected,不推荐,0.3,0.2,0.40867,0.4889,simopa-rgb-mask-v1,32
opa_test_002,test,1,64754,186413,sheep,sheep,prior_pool,prior_01,1,yes,1.0,recommended,推荐,0.38,0.58,0.084435,0.2776,simopa-rgb-mask-v1,24
opa_test_002,test,1,64754,186413,sheep,sheep,prior_pool,prior_02,2,yes,1.0,recommended,推荐,0.42,0.3,0.084435,0.2776,simopa-rgb-mask-v1,24
opa_test_002,test,1,64754,186413,sheep,sheep,prior_pool,prior_03,3,yes,1.0,recommended,推荐,0.15,0.55,0.084435,0.2776,simopa-rgb-mask-v1,23
opa_test_002,test,1,64754,186413,sheep,sheep,prior_pool,prior_04,4,no,1.0,recommended,推荐,0.55,0.55,0.084435,0.2776,simopa-rgb-mask-v1,24
opa_test_002,test,1,64754,186413,sheep,sheep,prior_pool,prior_05,5,no,1.0,recommended,推荐,0.52,0.46,0.084435,0.2776,simopa-rgb-mask-v1,25
opa_test_002,test,1,64754,186413,sheep,sheep,prior_pool,prior_06,6,no,1.0,recommended,推荐,0.25,0.3,0.084435,0.2776,simopa-rgb-mask-v1,22
opa_test_002,test,1,64754,186413,sheep,sheep,prior_pool,prior_10,7,no,1.0,recommended,推荐,0.04,0.68,0.084435,0.2776,simopa-rgb-mask-v1,23
opa_test_002,test,1,64754,186413,sheep,sheep,prior_pool,prior_07,8,no,0.9998,recommended,推荐,0.6,0.3,0.084435,0.2776,simopa-rgb-mask-v1,23
opa_test_002,test,1,64754,186413,sheep,sheep,prior_pool,prior_08,9,no,0.9992,recommended,推荐,0.72,0.12,0.084435,0.2776,simopa-rgb-mask-v1,22
opa_test_002,test,1,64754,186413,sheep,sheep,opa_position,opa_position,10,no,0.9987,recommended,推荐,0.714063,0.177986,0.084375,0.276347,simopa-rgb-mask-v1,204
opa_test_002,test,1,64754,186413,sheep,sheep,prior_pool,prior_12,11,no,0.5471,acceptable,可接受,0.3,0.2,0.084435,0.2776,simopa-rgb-mask-v1,22
opa_test_002,test,1,64754,186413,sheep,sheep,prior_pool,prior_09,12,no,0.2061,rejected,不推荐,0.08,0.18,0.084435,0.2776,simopa-rgb-mask-v1,23
opa_test_002,test,1,64754,186413,sheep,sheep,prior_pool,prior_11,13,no,0.0708,rejected,不推荐,0.78,0.52,0.084435,0.2776,simopa-rgb-mask-v1,26
opa_test_003,test,1,160915,580029,airplane,airplane,opa_position,opa_position,1,yes,1.0,recommended,推荐,0.695312,0.601874,0.179688,0.053864,simopa-rgb-mask-v1,205
opa_test_003,test,1,160915,580029,airplane,airplane,prior_pool,prior_01,2,yes,1.0,recommended,推荐,0.38,0.58,0.1802,0.054651,simopa-rgb-mask-v1,24
opa_test_003,test,1,160915,580029,airplane,airplane,prior_pool,prior_03,3,yes,1.0,recommended,推荐,0.15,0.55,0.1802,0.054651,simopa-rgb-mask-v1,23
opa_test_003,test,1,160915,580029,airplane,airplane,prior_pool,prior_04,4,no,1.0,recommended,推荐,0.55,0.55,0.1802,0.054651,simopa-rgb-mask-v1,24
opa_test_003,test,1,160915,580029,airplane,airplane,prior_pool,prior_05,5,no,1.0,recommended,推荐,0.52,0.46,0.1802,0.054651,simopa-rgb-mask-v1,23
opa_test_003,test,1,160915,580029,airplane,airplane,prior_pool,prior_07,6,no,1.0,recommended,推荐,0.6,0.3,0.1802,0.054651,simopa-rgb-mask-v1,25
opa_test_003,test,1,160915,580029,airplane,airplane,prior_pool,prior_11,7,no,1.0,recommended,推荐,0.78,0.52,0.1802,0.054651,simopa-rgb-mask-v1,23
opa_test_003,test,1,160915,580029,airplane,airplane,prior_pool,prior_09,8,no,0.9997,recommended,推荐,0.08,0.18,0.1802,0.054651,simopa-rgb-mask-v1,24
opa_test_003,test,1,160915,580029,airplane,airplane,prior_pool,prior_10,9,no,0.9015,recommended,推荐,0.04,0.68,0.1802,0.054651,simopa-rgb-mask-v1,24
opa_test_003,test,1,160915,580029,airplane,airplane,prior_pool,prior_02,10,no,0.0,rejected,不推荐,0.42,0.3,0.1802,0.054651,simopa-rgb-mask-v1,23
opa_test_003,test,1,160915,580029,airplane,airplane,prior_pool,prior_06,11,no,0.0,rejected,不推荐,0.25,0.3,0.1802,0.054651,simopa-rgb-mask-v1,24
opa_test_003,test,1,160915,580029,airplane,airplane,prior_pool,prior_08,12,no,0.0,rejected,不推荐,0.72,0.12,0.1802,0.054651,simopa-rgb-mask-v1,24
opa_test_003,test,1,160915,580029,airplane,airplane,prior_pool,prior_12,13,no,0.0,rejected,不推荐,0.3,0.2,0.1802,0.054651,simopa-rgb-mask-v1,25
opa_test_004,test,1,157189,15016,airplane,airplane,opa_position,opa_position,1,yes,1.0,recommended,推荐,0.809375,0.564706,0.16875,0.409412,simopa-rgb-mask-v1,220
opa_test_004,test,1,157189,15016,airplane,airplane,prior_pool,prior_01,2,yes,1.0,recommended,推荐,0.38,0.58,0.16969,0.4106,simopa-rgb-mask-v1,25
opa_test_004,test,1,157189,15016,airplane,airplane,prior_pool,prior_03,3,yes,1.0,recommended,推荐,0.15,0.55,0.16969,0.4106,simopa-rgb-mask-v1,25
opa_test_004,test,1,157189,15016,airplane,airplane,prior_pool,prior_04,4,no,1.0,recommended,推荐,0.55,0.55,0.16969,0.4106,simopa-rgb-mask-v1,24
opa_test_004,test,1,157189,15016,airplane,airplane,prior_pool,prior_05,5,no,1.0,recommended,推荐,0.52,0.46,0.16969,0.4106,simopa-rgb-mask-v1,24
opa_test_004,test,1,157189,15016,airplane,airplane,prior_pool,prior_06,6,no,1.0,recommended,推荐,0.25,0.3,0.16969,0.4106,simopa-rgb-mask-v1,24
opa_test_004,test,1,157189,15016,airplane,airplane,prior_pool,prior_08,7,no,1.0,recommended,推荐,0.72,0.12,0.16969,0.4106,simopa-rgb-mask-v1,24
opa_test_004,test,1,157189,15016,airplane,airplane,prior_pool,prior_09,8,no,1.0,recommended,推荐,0.08,0.18,0.16969,0.4106,simopa-rgb-mask-v1,23
opa_test_004,test,1,157189,15016,airplane,airplane,prior_pool,prior_10,9,no,1.0,recommended,推荐,0.04,0.5894,0.16969,0.4106,simopa-rgb-mask-v1,23
opa_test_004,test,1,157189,15016,airplane,airplane,prior_pool,prior_11,10,no,1.0,recommended,推荐,0.78,0.52,0.16969,0.4106,simopa-rgb-mask-v1,24
opa_test_004,test,1,157189,15016,airplane,airplane,prior_pool,prior_12,11,no,1.0,recommended,推荐,0.3,0.2,0.16969,0.4106,simopa-rgb-mask-v1,23
opa_test_004,test,1,157189,15016,airplane,airplane,prior_pool,prior_07,12,no,0.9998,recommended,推荐,0.6,0.3,0.16969,0.4106,simopa-rgb-mask-v1,24
opa_test_004,test,1,157189,15016,airplane,airplane,prior_pool,prior_02,13,no,0.8415,recommended,推荐,0.42,0.3,0.16969,0.4106,simopa-rgb-mask-v1,24
opa_test_005,test,1,65690,186413,sheep,sheep,opa_position,opa_position,1,yes,1.0,recommended,推荐,0.2375,0.327869,0.153125,0.381733,simopa-rgb-mask-v1,206
opa_test_005,test,1,65690,186413,sheep,sheep,prior_pool,prior_01,2,yes,1.0,recommended,推荐,0.38,0.58,0.153895,0.3829,simopa-rgb-mask-v1,24
opa_test_005,test,1,65690,186413,sheep,sheep,prior_pool,prior_02,3,yes,1.0,recommended,推荐,0.42,0.3,0.153895,0.3829,simopa-rgb-mask-v1,23
opa_test_005,test,1,65690,186413,sheep,sheep,prior_pool,prior_03,4,no,1.0,recommended,推荐,0.15,0.55,0.153895,0.3829,simopa-rgb-mask-v1,25
opa_test_005,test,1,65690,186413,sheep,sheep,prior_pool,prior_04,5,no,1.0,recommended,推荐,0.55,0.55,0.153895,0.3829,simopa-rgb-mask-v1,23
opa_test_005,test,1,65690,186413,sheep,sheep,prior_pool,prior_05,6,no,1.0,recommended,推荐,0.52,0.46,0.153895,0.3829,simopa-rgb-mask-v1,24
opa_test_005,test,1,65690,186413,sheep,sheep,prior_pool,prior_06,7,no,1.0,recommended,推荐,0.25,0.3,0.153895,0.3829,simopa-rgb-mask-v1,24
opa_test_005,test,1,65690,186413,sheep,sheep,prior_pool,prior_09,8,no,1.0,recommended,推荐,0.08,0.18,0.153895,0.3829,simopa-rgb-mask-v1,24
opa_test_005,test,1,65690,186413,sheep,sheep,prior_pool,prior_10,9,no,1.0,recommended,推荐,0.04,0.6171,0.153895,0.3829,simopa-rgb-mask-v1,25
opa_test_005,test,1,65690,186413,sheep,sheep,prior_pool,prior_11,10,no,1.0,recommended,推荐,0.78,0.52,0.153895,0.3829,simopa-rgb-mask-v1,25
opa_test_005,test,1,65690,186413,sheep,sheep,prior_pool,prior_12,11,no,0.9998,recommended,推荐,0.3,0.2,0.153895,0.3829,simopa-rgb-mask-v1,25
opa_test_005,test,1,65690,186413,sheep,sheep,prior_pool,prior_08,12,no,0.9163,recommended,推荐,0.72,0.12,0.153895,0.3829,simopa-rgb-mask-v1,24
opa_test_005,test,1,65690,186413,sheep,sheep,prior_pool,prior_07,13,no,0.0,rejected,不推荐,0.6,0.3,0.153895,0.3829,simopa-rgb-mask-v1,23
opa_test_006,test,1,2175267,348935,zebra,zebra,opa_position,opa_position,1,yes,1.0,recommended,推荐,0.024575,0.640625,0.623819,0.34375,simopa-rgb-mask-v1,221
opa_test_006,test,1,2175267,348935,zebra,zebra,prior_pool,prior_01,2,yes,1.0,recommended,推荐,0.3749,0.58,0.6251,0.343554,simopa-rgb-mask-v1,29
opa_test_006,test,1,2175267,348935,zebra,zebra,prior_pool,prior_04,3,yes,1.0,recommended,推荐,0.3749,0.55,0.6251,0.343554,simopa-rgb-mask-v1,27
opa_test_006,test,1,2175267,348935,zebra,zebra,prior_pool,prior_05,4,no,1.0,recommended,推荐,0.3749,0.46,0.6251,0.343554,simopa-rgb-mask-v1,28
opa_test_006,test,1,2175267,348935,zebra,zebra,prior_pool,prior_10,5,no,1.0,recommended,推荐,0.04,0.656446,0.6251,0.343554,simopa-rgb-mask-v1,27
opa_test_006,test,1,2175267,348935,zebra,zebra,prior_pool,prior_11,6,no,1.0,recommended,推荐,0.3749,0.52,0.6251,0.343554,simopa-rgb-mask-v1,29
opa_test_006,test,1,2175267,348935,zebra,zebra,prior_pool,prior_03,7,no,0.9999,recommended,推荐,0.15,0.55,0.6251,0.343554,simopa-rgb-mask-v1,28
opa_test_006,test,1,2175267,348935,zebra,zebra,prior_pool,prior_02,8,no,0.0,rejected,不推荐,0.3749,0.3,0.6251,0.343554,simopa-rgb-mask-v1,28
opa_test_006,test,1,2175267,348935,zebra,zebra,prior_pool,prior_06,9,no,0.0,rejected,不推荐,0.25,0.3,0.6251,0.343554,simopa-rgb-mask-v1,28
opa_test_006,test,1,2175267,348935,zebra,zebra,prior_pool,prior_07,10,no,0.0,rejected,不推荐,0.3749,0.3,0.6251,0.343554,simopa-rgb-mask-v1,31
opa_test_006,test,1,2175267,348935,zebra,zebra,prior_pool,prior_08,11,no,0.0,rejected,不推荐,0.3749,0.12,0.6251,0.343554,simopa-rgb-mask-v1,31
opa_test_006,test,1,2175267,348935,zebra,zebra,prior_pool,prior_09,12,no,0.0,rejected,不推荐,0.08,0.18,0.6251,0.343554,simopa-rgb-mask-v1,28
opa_test_006,test,1,2175267,348935,zebra,zebra,prior_pool,prior_12,13,no,0.0,rejected,不推荐,0.3,0.2,0.6251,0.343554,simopa-rgb-mask-v1,27
opa_test_007,test,1,1519373,78478,fork,spoon,opa_position,opa_position,1,yes,1.0,recommended,推荐,0.651563,0.360417,0.2125,0.225,simopa-rgb-mask-v1,204
opa_test_007,test,1,1519373,78478,fork,spoon,prior_pool,prior_01,2,yes,1.0,recommended,推荐,0.38,0.58,0.212906,0.2271,simopa-rgb-mask-v1,24
opa_test_007,test,1,1519373,78478,fork,spoon,prior_pool,prior_05,3,yes,1.0,recommended,推荐,0.52,0.46,0.212906,0.2271,simopa-rgb-mask-v1,23
opa_test_007,test,1,1519373,78478,fork,spoon,prior_pool,prior_07,4,no,1.0,recommended,推荐,0.6,0.3,0.212906,0.2271,simopa-rgb-mask-v1,25
opa_test_007,test,1,1519373,78478,fork,spoon,prior_pool,prior_04,5,no,0.9999,recommended,推荐,0.55,0.55,0.212906,0.2271,simopa-rgb-mask-v1,24
opa_test_007,test,1,1519373,78478,fork,spoon,prior_pool,prior_11,6,no,0.7142,acceptable,可接受,0.78,0.52,0.212906,0.2271,simopa-rgb-mask-v1,26
opa_test_007,test,1,1519373,78478,fork,spoon,prior_pool,prior_02,7,no,0.0025,rejected,不推荐,0.42,0.3,0.212906,0.2271,simopa-rgb-mask-v1,24
opa_test_007,test,1,1519373,78478,fork,spoon,prior_pool,prior_03,8,no,0.0002,rejected,不推荐,0.15,0.55,0.212906,0.2271,simopa-rgb-mask-v1,25
opa_test_007,test,1,1519373,78478,fork,spoon,prior_pool,prior_06,9,no,0.0,rejected,不推荐,0.25,0.3,0.212906,0.2271,simopa-rgb-mask-v1,25
opa_test_007,test,1,1519373,78478,fork,spoon,prior_pool,prior_08,10,no,0.0,rejected,不推荐,0.72,0.12,0.212906,0.2271,simopa-rgb-mask-v1,26
opa_test_007,test,1,1519373,78478,fork,spoon,prior_pool,prior_09,11,no,0.0,rejected,不推荐,0.08,0.18,0.212906,0.2271,simopa-rgb-mask-v1,24
opa_test_007,test,1,1519373,78478,fork,spoon,prior_pool,prior_10,12,no,0.0,rejected,不推荐,0.04,0.68,0.212906,0.2271,simopa-rgb-mask-v1,24
opa_test_007,test,1,1519373,78478,fork,spoon,prior_pool,prior_12,13,no,0.0,rejected,不推荐,0.3,0.2,0.212906,0.2271,simopa-rgb-mask-v1,24
opa_test_008,test,1,1412247,213399,zebra,zebra,opa_position,opa_position,1,yes,1.0,recommended,推荐,0.09375,0.30445,0.625,0.545667,simopa-rgb-mask-v1,211
opa_test_008,test,1,1412247,213399,zebra,zebra,prior_pool,prior_01,2,yes,1.0,recommended,推荐,0.3749,0.452735,0.6251,0.547265,simopa-rgb-mask-v1,27
opa_test_008,test,1,1412247,213399,zebra,zebra,prior_pool,prior_02,3,yes,1.0,recommended,推荐,0.3749,0.3,0.6251,0.547265,simopa-rgb-mask-v1,26
opa_test_008,test,1,1412247,213399,zebra,zebra,prior_pool,prior_03,4,no,1.0,recommended,推荐,0.15,0.452735,0.6251,0.547265,simopa-rgb-mask-v1,24
opa_test_008,test,1,1412247,213399,zebra,zebra,prior_pool,prior_04,5,no,1.0,recommended,推荐,0.3749,0.452735,0.6251,0.547265,simopa-rgb-mask-v1,24
opa_test_008,test,1,1412247,213399,zebra,zebra,prior_pool,prior_05,6,no,1.0,recommended,推荐,0.3749,0.452735,0.6251,0.547265,simopa-rgb-mask-v1,24
opa_test_008,test,1,1412247,213399,zebra,zebra,prior_pool,prior_06,7,no,1.0,recommended,推荐,0.25,0.3,0.6251,0.547265,simopa-rgb-mask-v1,25
opa_test_008,test,1,1412247,213399,zebra,zebra,prior_pool,prior_07,8,no,1.0,recommended,推荐,0.3749,0.3,0.6251,0.547265,simopa-rgb-mask-v1,24
opa_test_008,test,1,1412247,213399,zebra,zebra,prior_pool,prior_09,9,no,1.0,recommended,推荐,0.08,0.18,0.6251,0.547265,simopa-rgb-mask-v1,25
opa_test_008,test,1,1412247,213399,zebra,zebra,prior_pool,prior_10,10,no,1.0,recommended,推荐,0.04,0.452735,0.6251,0.547265,simopa-rgb-mask-v1,24
opa_test_008,test,1,1412247,213399,zebra,zebra,prior_pool,prior_11,11,no,1.0,recommended,推荐,0.3749,0.452735,0.6251,0.547265,simopa-rgb-mask-v1,24
opa_test_008,test,1,1412247,213399,zebra,zebra,prior_pool,prior_12,12,no,1.0,recommended,推荐,0.3,0.2,0.6251,0.547265,simopa-rgb-mask-v1,24
opa_test_008,test,1,1412247,213399,zebra,zebra,prior_pool,prior_08,13,no,0.0,rejected,不推荐,0.3749,0.12,0.6251,0.547265,simopa-rgb-mask-v1,25
opa_test_009,test,1,13433,500165,dog,dog,opa_position,opa_position,1,yes,1.0,recommended,推荐,0.389062,0.10625,0.29375,0.58125,simopa-rgb-mask-v1,216
opa_test_009,test,1,13433,500165,dog,dog,prior_pool,prior_01,2,yes,1.0,recommended,推荐,0.38,0.4172,0.294257,0.5828,simopa-rgb-mask-v1,29
opa_test_009,test,1,13433,500165,dog,dog,prior_pool,prior_02,3,yes,1.0,recommended,推荐,0.42,0.3,0.294257,0.5828,simopa-rgb-mask-v1,25
opa_test_009,test,1,13433,500165,dog,dog,prior_pool,prior_03,4,no,1.0,recommended,推荐,0.15,0.4172,0.294257,0.5828,simopa-rgb-mask-v1,25
opa_test_009,test,1,13433,500165,dog,dog,prior_pool,prior_04,5,no,1.0,recommended,推荐,0.55,0.4172,0.294257,0.5828,simopa-rgb-mask-v1,24
opa_test_009,test,1,13433,500165,dog,dog,prior_pool,prior_05,6,no,1.0,recommended,推荐,0.52,0.4172,0.294257,0.5828,simopa-rgb-mask-v1,23
opa_test_009,test,1,13433,500165,dog,dog,prior_pool,prior_06,7,no,1.0,recommended,推荐,0.25,0.3,0.294257,0.5828,simopa-rgb-mask-v1,23
opa_test_009,test,1,13433,500165,dog,dog,prior_pool,prior_07,8,no,1.0,recommended,推荐,0.6,0.3,0.294257,0.5828,simopa-rgb-mask-v1,24
opa_test_009,test,1,13433,500165,dog,dog,prior_pool,prior_10,9,no,1.0,recommended,推荐,0.04,0.4172,0.294257,0.5828,simopa-rgb-mask-v1,24
opa_test_009,test,1,13433,500165,dog,dog,prior_pool,prior_11,10,no,1.0,recommended,推荐,0.705743,0.4172,0.294257,0.5828,simopa-rgb-mask-v1,35
opa_test_009,test,1,13433,500165,dog,dog,prior_pool,prior_12,11,no,0.9998,recommended,推荐,0.3,0.2,0.294257,0.5828,simopa-rgb-mask-v1,36
