case_id,dataset_label,fg_id,bg_id,foreground_category,background_category,full_mode,lite_mode,full_candidate_count,lite_candidate_budget,lite_candidate_count,score_call_reduction_pct,full_top1_id,lite_top1_id,top1_matches,full_top1_score,lite_top1_score,full_top3_ids,lite_top3_ids,top3_overlap_count,top3_overlap_ratio,full_dataset_position_rank,lite_dataset_position_rank,full_dataset_position_score,lite_dataset_position_score,full_assessment,lite_assessment,assessment_matches,full_inner_runtime_ms,lite_inner_runtime_ms,lite_case_elapsed_ms,full_model_version,lite_model_version
opa_test_001,1,69931,442445,cow,cow,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,0.9985,0.9985,opa_position;prior_02;prior_07,opa_position;prior_02;prior_01,2,0.6667,1,1,0.9985,0.9985,pass_positive_high_rank,pass_positive_high_rank,yes,495.0,375,3417.04,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_002,1,64754,186413,sheep,sheep,simopa-full,simopa-lite,13,6,7,46.15,prior_01,prior_01,yes,1.0,1.0,prior_01;prior_02;prior_03,prior_01;prior_02;prior_03,3,1.0,10,7,0.9987,0.9987,review_positive_high_score_low_rank,review_positive_high_score_low_rank,yes,490.0,375,3483.27,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_003,1,160915,580029,airplane,airplane,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,1.0,1.0,opa_position;prior_01;prior_03,opa_position;prior_01;prior_03,3,1.0,1,1,1.0,1.0,pass_positive_high_rank,pass_positive_high_rank,yes,483.0,353,3283.67,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_004,1,157189,15016,airplane,airplane,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,1.0,1.0,opa_position;prior_01;prior_03,opa_position;prior_01;prior_03,3,1.0,1,1,1.0,1.0,pass_positive_high_rank,pass_positive_high_rank,yes,483.0,355,3288.54,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_005,1,65690,186413,sheep,sheep,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,1.0,1.0,opa_position;prior_01;prior_02,opa_position;prior_01;prior_02,3,1.0,1,1,1.0,1.0,pass_positive_high_rank,pass_positive_high_rank,yes,488.0,363,3375.24,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_006,1,2175267,348935,zebra,zebra,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,1.0,1.0,opa_position;prior_01;prior_04,opa_position;prior_01;prior_04,3,1.0,1,1,1.0,1.0,pass_positive_high_rank,pass_positive_high_rank,yes,501.0,368,3372.1,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_007,1,1519373,78478,fork,spoon,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,1.0,1.0,opa_position;prior_01;prior_05,opa_position;prior_01;prior_05,3,1.0,1,1,1.0,1.0,pass_positive_high_rank,pass_positive_high_rank,yes,489.0,360,3213.87,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_008,1,1412247,213399,zebra,zebra,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,1.0,1.0,opa_position;prior_01;prior_02,opa_position;prior_01;prior_02,3,1.0,1,1,1.0,1.0,pass_positive_high_rank,pass_positive_high_rank,yes,494.0,360,3339.89,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_009,1,13433,500165,dog,dog,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,1.0,1.0,opa_position;prior_01;prior_02,opa_position;prior_01;prior_02,3,1.0,1,1,1.0,1.0,pass_positive_high_rank,pass_positive_high_rank,yes,503.0,352,3401.03,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_010,1,1914814,298623,broccoli,broccoli,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,1.0,1.0,opa_position;prior_01;prior_02,opa_position;prior_01;prior_02,3,1.0,1,1,1.0,1.0,pass_positive_high_rank,pass_positive_high_rank,yes,487.0,350,3287.46,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_011,1,128038,180967,bicycle,bicycle,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,1.0,1.0,opa_position;prior_03;prior_10,opa_position;prior_03;prior_01,2,0.6667,1,1,1.0,1.0,pass_positive_high_rank,pass_positive_high_rank,yes,485.0,347,3326.83,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_012,1,417577,317687,fire hydrant,fire hydrant,simopa-full,simopa-lite,13,6,7,46.15,prior_01,prior_01,yes,1.0,1.0,prior_01;prior_03;prior_10,prior_01;prior_03;prior_04,2,0.6667,6,4,0.9996,0.9996,review_positive_high_score_low_rank,review_positive_high_score_low_rank,yes,498.0,351,3360.85,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_013,1,178226,366257,boat,boat,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,1.0,1.0,opa_position;prior_01;prior_02,opa_position;prior_01;prior_02,3,1.0,1,1,1.0,1.0,pass_positive_high_rank,pass_positive_high_rank,yes,488.0,378,3339.42,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_014,1,1078397,379285,donut,fork,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,1.0,1.0,opa_position;prior_01;prior_02,opa_position;prior_01;prior_02,3,1.0,1,1,1.0,1.0,pass_positive_high_rank,pass_positive_high_rank,yes,490.0,375,3429.79,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_015,1,593796,213399,zebra,zebra,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,1.0,1.0,opa_position;prior_01;prior_02,opa_position;prior_01;prior_02,3,1.0,1,1,1.0,1.0,pass_positive_high_rank,pass_positive_high_rank,yes,498.0,366,3473.4,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_016,1,2198049,317687,fire hydrant,fire hydrant,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,1.0,1.0,opa_position;prior_01;prior_03,opa_position;prior_01;prior_03,3,1.0,1,1,1.0,1.0,pass_positive_high_rank,pass_positive_high_rank,yes,505.0,370,3391.08,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_017,1,1055814,298623,broccoli,broccoli,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,1.0,1.0,opa_position;prior_01;prior_02,opa_position;prior_01;prior_02,3,1.0,1,1,1.0,1.0,pass_positive_high_rank,pass_positive_high_rank,yes,496.0,352,3388.01,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_018,1,1926922,414401,cake,cake,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,1.0,1.0,opa_position;prior_01;prior_03,opa_position;prior_01;prior_03,3,1.0,1,1,1.0,1.0,pass_positive_high_rank,pass_positive_high_rank,yes,488.0,357,3344.35,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_019,1,1078801,60467,donut,donut,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,1.0,1.0,opa_position;prior_01;prior_02,opa_position;prior_01;prior_02,3,1.0,1,1,1.0,1.0,pass_positive_high_rank,pass_positive_high_rank,yes,474.0,353,3404.37,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_020,1,56104,417334,horse,horse,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,1.0,1.0,opa_position;prior_01;prior_02,opa_position;prior_01;prior_02,3,1.0,1,1,1.0,1.0,pass_positive_high_rank,pass_positive_high_rank,yes,483.0,372,3330.76,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_021,1,586326,80105,bear,bear,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,1.0,1.0,opa_position;prior_01;prior_02,opa_position;prior_01;prior_02,3,1.0,1,1,1.0,1.0,pass_positive_high_rank,pass_positive_high_rank,yes,498.0,352,3319.26,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_022,1,1079904,379285,donut,fork,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,1.0,1.0,opa_position;prior_01;prior_02,opa_position;prior_01;prior_02,3,1.0,1,1,1.0,1.0,pass_positive_high_rank,pass_positive_high_rank,yes,494.0,365,3289.09,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_023,1,586987,357510,bear,bear,simopa-full,simopa-lite,13,6,7,46.15,prior_03,prior_03,yes,1.0,1.0,prior_03;prior_05;prior_10,prior_03;prior_05;prior_01,2,0.6667,8,5,0.9967,0.9967,review_positive_high_score_low_rank,review_positive_high_score_low_rank,yes,503.0,370,3314.7,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_024,1,586934,357510,bear,bear,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,1.0,1.0,opa_position;prior_01;prior_02,opa_position;prior_01;prior_02,3,1.0,1,1,1.0,1.0,pass_positive_high_rank,pass_positive_high_rank,yes,513.0,364,3426.74,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_025,1,589018,213399,zebra,zebra,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,1.0,1.0,opa_position;prior_01;prior_02,opa_position;prior_01;prior_02,3,1.0,1,1,1.0,1.0,pass_positive_high_rank,pass_positive_high_rank,yes,510.0,457,3433.24,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_051,0,3332,333599,dog,dog,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,0.0,0.0,opa_position;prior_01;prior_02,opa_position;prior_01;prior_02,3,1.0,1,1,0.0,0.0,pass_negative_rejected,pass_negative_rejected,yes,485.0,342,3245.4,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_052,0,55695,503008,horse,horse,simopa-full,simopa-lite,13,6,7,46.15,prior_10,opa_position,no,0.9756,0.0,prior_10;opa_position;prior_01,opa_position;prior_01;prior_02,2,0.6667,2,1,0.0,0.0,pass_negative_rejected,pass_negative_rejected,yes,507.0,361,3199.06,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_053,0,61157,186413,sheep,sheep,simopa-full,simopa-lite,13,6,7,46.15,prior_01,prior_01,yes,1.0,1.0,prior_01;prior_03;prior_04,prior_01;prior_03;prior_04,3,1.0,11,6,0.0,0.0,pass_negative_rejected,pass_negative_rejected,yes,499.0,342,3203.42,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_054,0,164841,57284,bus,bus,simopa-full,simopa-lite,13,6,7,46.15,prior_01,prior_01,yes,0.8239,0.8239,prior_01;prior_04;prior_10,prior_01;prior_04;opa_position,2,0.6667,4,3,0.0,0.0,pass_negative_rejected,pass_negative_rejected,yes,520.0,347,3297.61,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_055,0,575108,124979,bench,bench,simopa-full,simopa-lite,13,6,7,46.15,prior_01,prior_01,yes,1.0,1.0,prior_01;prior_03;prior_04,prior_01;prior_03;prior_04,3,1.0,9,5,0.0,0.0,pass_negative_rejected,pass_negative_rejected,yes,519.0,354,3232.94,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_056,0,126084,180967,bicycle,bicycle,simopa-full,simopa-lite,13,6,7,46.15,prior_06,prior_06,yes,0.9999,0.9999,prior_06;prior_03;prior_02,prior_06;prior_03;prior_02,3,1.0,8,6,0.0,0.0,pass_negative_rejected,pass_negative_rejected,yes,488.0,340,3183.93,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_057,0,1084923,414401,cake,cake,simopa-full,simopa-lite,13,6,7,46.15,prior_05,prior_05,yes,1.0,1.0,prior_05;prior_10;prior_11,prior_05;prior_04;prior_01,1,0.3333,8,5,0.0,0.0,pass_negative_rejected,pass_negative_rejected,yes,518.0,382,3250.78,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_058,0,341620,64389,toothbrush,vase,simopa-full,simopa-lite,13,6,7,46.15,prior_03,prior_03,yes,0.0003,0.0003,prior_03;opa_position;prior_01,prior_03;opa_position;prior_01,3,1.0,2,2,0.0,0.0,pass_negative_rejected,pass_negative_rejected,yes,501.0,357,3258.47,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_059,0,341604,73009,toothbrush,toothbrush,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,0.0,0.0,opa_position;prior_01;prior_02,opa_position;prior_01;prior_02,3,1.0,1,1,0.0,0.0,pass_negative_rejected,pass_negative_rejected,yes,473.0,345,3243.61,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_060,0,1576567,414401,cake,cake,simopa-full,simopa-lite,13,6,7,46.15,prior_01,prior_01,yes,1.0,1.0,prior_01;prior_03;prior_04,prior_01;prior_03;prior_04,3,1.0,10,6,0.0,0.0,pass_negative_rejected,pass_negative_rejected,yes,533.0,359,3218.41,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_061,0,342658,73009,toothbrush,toothbrush,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,0.0,0.0,opa_position;prior_01;prior_02,opa_position;prior_01;prior_02,3,1.0,1,1,0.0,0.0,pass_negative_rejected,pass_negative_rejected,yes,466.0,353,3172.15,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_062,0,575902,171805,bench,bench,simopa-full,simopa-lite,13,6,7,46.15,prior_10,prior_02,no,0.955,0.1724,prior_10;prior_02;prior_03,prior_02;prior_03;prior_01,2,0.6667,5,4,0.0,0.0,pass_negative_rejected,pass_negative_rejected,yes,471.0,349,3200.69,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_063,0,670608,460568,cup,cup,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,0.0,0.0,opa_position;prior_01;prior_02,opa_position;prior_01;prior_02,3,1.0,1,1,0.0,0.0,pass_negative_rejected,pass_negative_rejected,yes,503.0,373,3189.9,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_064,0,596954,203868,giraffe,giraffe,simopa-full,simopa-lite,13,6,7,46.15,prior_01,prior_01,yes,1.0,1.0,prior_01;prior_03;prior_04,prior_01;prior_03;prior_04,3,1.0,9,6,0.0,0.0,pass_negative_rejected,pass_negative_rejected,yes,488.0,379,3306.95,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_065,0,159573,580029,airplane,airplane,simopa-full,simopa-lite,13,6,7,46.15,prior_01,prior_01,yes,1.0,1.0,prior_01;prior_03;prior_04,prior_01;prior_03;prior_04,3,1.0,8,5,0.0,0.0,pass_negative_rejected,pass_negative_rejected,yes,477.0,373,3283.98,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_066,0,55695,503008,horse,horse,simopa-full,simopa-lite,13,6,7,46.15,prior_10,opa_position,no,0.9756,0.0,prior_10;opa_position;prior_01,opa_position;prior_01;prior_02,2,0.6667,2,1,0.0,0.0,pass_negative_rejected,pass_negative_rejected,yes,513.0,346,3243.66,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_067,0,163007,57284,bus,bus,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,0.0,0.0,opa_position;prior_01;prior_02,opa_position;prior_01;prior_02,3,1.0,1,1,0.0,0.0,pass_negative_rejected,pass_negative_rejected,yes,490.0,374,3262.51,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_068,0,1765106,180967,bicycle,bicycle,simopa-full,simopa-lite,13,6,7,46.15,prior_03,prior_03,yes,0.3897,0.3897,prior_03;prior_10;prior_11,prior_03;opa_position;prior_01,1,0.3333,4,2,0.0,0.0,pass_negative_rejected,pass_negative_rejected,yes,462.0,350,3225.18,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_069,0,1100242,62376,laptop,laptop,simopa-full,simopa-lite,13,6,7,46.15,prior_03,prior_03,yes,1.0,1.0,prior_03;prior_10;prior_01,prior_03;prior_01;opa_position,2,0.6667,4,3,0.0,0.0,pass_negative_rejected,pass_negative_rejected,yes,466.0,361,3230.09,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_070,0,1576567,414401,cake,cake,simopa-full,simopa-lite,13,6,7,46.15,prior_02,prior_02,yes,1.0,1.0,prior_02;prior_07;prior_04,prior_02;prior_04;prior_05,2,0.6667,12,7,0.0,0.0,pass_negative_rejected,pass_negative_rejected,yes,516.0,363,3259.64,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_071,0,1976110,218668,cell phone,cell phone,simopa-full,simopa-lite,13,6,7,46.15,prior_01,prior_01,yes,0.96,0.96,prior_01;prior_03;prior_10,prior_01;prior_03;prior_04,2,0.6667,6,4,0.0,0.0,pass_negative_rejected,pass_negative_rejected,yes,490.0,366,3212.44,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_072,0,416834,317687,fire hydrant,fire hydrant,simopa-full,simopa-lite,13,6,7,46.15,prior_01,prior_01,yes,1.0,1.0,prior_01;prior_03;prior_04,prior_01;prior_03;prior_04,3,1.0,7,4,0.0,0.0,pass_negative_rejected,pass_negative_rejected,yes,479.0,357,3237.27,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_073,0,702138,78478,spoon,spoon,simopa-full,simopa-lite,13,6,7,46.15,prior_11,prior_02,no,1.0,0.9922,prior_11;prior_07;prior_02,prior_02;prior_01;prior_05,1,0.3333,8,6,0.0,0.0,pass_negative_rejected,pass_negative_rejected,yes,478.0,356,3268.51,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_074,0,355769,107745,car,car,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,0.0,0.0,opa_position;prior_01;prior_02,opa_position;prior_01;prior_02,3,1.0,1,1,0.0,0.0,pass_negative_rejected,pass_negative_rejected,yes,496.0,342,3253.13,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_075,0,18901,29727,potted plant,potted plant,simopa-full,simopa-lite,13,6,7,46.15,prior_12,opa_position,no,0.0005,0.0002,prior_12;opa_position;prior_02,opa_position;prior_02;prior_06,2,0.6667,2,1,0.0002,0.0002,pass_negative_rejected,pass_negative_rejected,yes,485.0,350,3215.16,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
